designation,discovery_date,h_mag,i_deg,moid_au,orbit_class,period_yr,pha,q_au_1,q_au_2
(2010 QA5),2010-08-29T00:00:00.000,22.5,33.45,0.065,Amor,4.97,N,1.07,4.76
(2010 QE2),2010-08-25T00:00:00.000,17.2,64.75,0.056,Apollo,6.19,N,0.88,5.86
(2010 PY75),2010-08-15T00:00:00.000,18.7,31.29,0.243,Apollo,4.34,N,0.6,4.72
(2010 PU66),2010-08-03T00:00:00.000,22.1,18.09,0.148,Apollo,1.81,N,0.91,2.07
(2010 PW58),2010-08-05T00:00:00.000,21.3,14.24,0.021,Aten,0.84,Y,0.7,1.08
(2010 PP58),2010-08-05T00:00:00.000,22.1,4.55,0.014,Apollo,2.81,N,0.99,3
(2010 PM58),2010-08-01T00:00:00.000,20.9,13.6,0.096,Apollo,1.61,N,0.74,2
P/2010 P4 (WISE),2010-08-06T00:00:00.000,"",24.1,0.854,Jupiter-family Comet,7.13,n/a,1.86,5.55
(2010 OK126),2010-07-30T00:00:00.000,20.7,52.56,0.149,Amor,2.74,N,1.08,2.83
(2010 OH126),2010-07-31T00:00:00.000,21.4,14.38,0.068,Apollo,2.62,N,0.95,2.85
(2010 ON101),2010-07-30T00:00:00.000,20.2,9.31,0.044,Apollo,2.08,Y,0.96,2.3
(2010 OL101),2010-07-27T00:00:00.000,20.4,26.11,0.298,Amor,4.22,N,1.05,4.17
(2010 OF101),2010-07-23T00:00:00.000,19.6,23.37,0.062,Aten,0.93,N,0.64,1.26
(2010 OD101),2010-07-23T00:00:00.000,20.7,15.39,0.19,Amor,2.06,N,1.04,2.2
(2010 OC101),2010-07-22T00:00:00.000,20.7,13.6,0.092,Apollo,1.35,N,0.94,1.5
(2010 OL100),2010-07-28T00:00:00.000,19.6,22.16,0.129,Apollo,3.4,N,0.78,3.74
(2010 OE22),2010-07-17T00:00:00.000,21.3,14.32,0.178,Apollo,4.28,N,0.97,4.31
(2010 NY65),2010-07-14T00:00:00.000,21.4,11.74,0.017,Aten,1,Y,0.63,1.37
(2010 NG3),2010-07-08T00:00:00.000,17.2,26.96,0.127,Amor,4.2,N,1.13,4.08
(2010 NB2),2010-07-10T00:00:00.000,20.3,28.66,0.102,Apollo,3.01,N,0.5,3.67
(2010 NU1),2010-07-06T00:00:00.000,21.2,34.58,0.336,Apollo,3.74,N,0.48,4.33
(2010 NT1),2010-07-04T00:00:00.000,19.4,39.52,0.208,Amor,1.76,N,1.14,1.78
(2010 NG1),2010-07-02T00:00:00.000,20.4,24.74,0.081,Aten,0.78,N,0.57,1.13
P/2010 N1 (WISE),2010-07-05T00:00:00.000,"",12.88,0.491,Jupiter-family Comet,5.74,n/a,1.49,4.92
(2010 MA113),2010-06-25T00:00:00.000,19.2,39.85,0.081,Apollo,3.46,N,0.89,3.68
(2010 MZ112),2010-06-23T00:00:00.000,19.8,30.18,0.221,Apollo,2.36,N,0.49,3.06
(2010 MY112),2010-06-23T00:00:00.000,21,38.49,0.156,Apollo,1.1,N,0.8,1.33
(2010 MU112),2010-06-30T00:00:00.000,20.7,48.02,0.0002,Apollo,2.33,Y,0.81,2.71
(2010 MU111),2010-06-23T00:00:00.000,18.7,41.53,0.059,Apollo,3.7,N,0.92,3.86
(2010 MR87),2010-06-22T00:00:00.000,19.5,34.98,0.15,Amor,2.28,N,1.06,2.41
(2010 LU134),2010-06-14T00:00:00.000,19.5,27.39,0.146,Apollo,2.61,N,0.86,2.93
(2010 LV108),2010-06-14T00:00:00.000,22.6,5.43,0.006,Apollo,4.64,N,1.01,4.55
(2010 LU108),2010-06-15T00:00:00.000,20,9.51,0.126,Apollo,3.35,N,0.41,4.08
(2010 LT108),2010-06-13T00:00:00.000,19.7,31.87,0.138,Apollo,1.57,N,0.85,1.85
(2010 LO97),2010-06-13T00:00:00.000,18.7,21.65,0.233,Amor,4.14,N,1.22,3.94
(2010 LF86),2010-06-11T00:00:00.000,17.2,13.55,0.318,Amor,3.73,N,1.3,3.51
(2010 LR68),2010-06-08T00:00:00.000,18.3,4.58,0.216,Amor,5.29,N,1.19,4.88
(2010 LL68),2010-06-12T00:00:00.000,22.9,10.48,0.139,Apollo,2.99,N,0.98,3.16
(2010 LK68),2010-06-12T00:00:00.000,22.5,22.08,0.025,Apollo,1.27,N,0.61,1.73
(2010 LJ68),2010-06-11T00:00:00.000,22.7,17.01,0.031,Apollo,2.32,N,0.97,2.54
(2010 LG64),2010-06-05T00:00:00.000,20.2,42.28,0.043,Amor,4.36,Y,1.04,4.3
(2010 LF64),2010-06-03T00:00:00.000,21.6,18.54,0.192,Amor,1.59,N,1.13,1.59
(2010 LJ61),2010-06-08T00:00:00.000,20.9,10.24,0.054,Apollo,1.12,N,0.57,1.59
(2010 LQ33),2010-06-04T00:00:00.000,19.3,24.63,0.228,Amor,3.42,N,1.23,3.31
(2010 LM14),2010-06-02T00:00:00.000,21.5,25.92,0.312,Apollo,1.17,N,0.69,1.53
(2010 LH14),2010-06-02T00:00:00.000,22,4.66,0.054,Apollo,3.26,N,0.93,3.46
C/2010 L5 (WISE),2010-06-14T00:00:00.000,"",147.05,0.114,Halley-type Comet*,23.56,n/a,0.79,15.64
C/2010 L4 (WISE),2010-06-15T00:00:00.000,"",102.82,2.53,Comet,716.78,n/a,2.83,157.36
245P/WISE,2010-06-02T00:00:00.000,"",21.09,1.172,Jupiter-family Comet,8.04,n/a,2.14,5.88
(2010 KY127),2010-05-31T00:00:00.000,17,60.29,0.703,Apollo,3.95,N,0.3,4.7
(2010 KK127),2010-05-21T00:00:00.000,20.7,6.94,0.282,Amor,3.33,N,1.28,3.18
(2010 KZ117),2010-05-18T00:00:00.000,19.2,33.17,0.166,Amor,3.42,N,1.1,3.43
(2010 KB61),2010-05-26T00:00:00.000,20.5,44.6,0.051,Apollo,1.44,N,0.98,1.57
(2010 KY39),2010-05-18T00:00:00.000,20.1,25.51,0.303,Amor,2.3,N,1.05,2.43
C/2010 KW7 (WISE),2010-05-16T00:00:00.000,"",147.06,1.625,Comet,997.65,n/a,2.57,197.11
317P/WISE,2010-05-27T00:00:00.000,"",10.65,0.204,Jupiter-family Comet,5.01,n/a,1.2,4.65
(2010 KH),2010-05-16T00:00:00.000,19.4,14.57,0.367,Amor,4.59,N,1.24,4.28
(2010 JM151),2010-05-14T00:00:00.000,19.6,16.65,0.111,Apollo,2.21,N,0.88,2.52
(2010 JH87),2010-05-11T00:00:00.000,19.6,43.78,0.221,Apollo,1.91,N,0.71,2.37
(2010 JG87),2010-05-11T00:00:00.000,19.1,16.91,0.209,Apollo,4.59,N,0.14,5.38
(2010 JF87),2010-05-11T00:00:00.000,19.2,24.93,0.053,Apollo,3.8,N,0.92,3.95
(2010 JE87),2010-05-10T00:00:00.000,20.8,16.92,0.035,Aten,0.86,Y,0.51,1.3
(2010 JD87),2010-05-07T00:00:00.000,19.2,24.6,0.283,Apollo,1.71,N,0.51,2.34
P/2010 JC81 (WISE),2010-05-10T00:00:00.000,"",38.69,0.828,Halley-type Comet*,23.19,n/a,1.81,14.46
(2010 JA43),2010-05-04T00:00:00.000,20.9,36.46,0.186,Amor,2.23,N,1.03,2.38
(2010 JN33),2010-05-03T00:00:00.000,20.4,53.15,0.257,Amor,1.94,N,1.11,2
C/2010 J4 (WISE),2010-05-12T00:00:00.000,"",162.3,0.307,Parabolic Comet,"",n/a,1.09,""
(2010 HZ108),2010-04-25T00:00:00.000,20.9,22.88,0.108,Apollo,1.39,N,0.99,1.51
(2010 HX107),2010-04-20T00:00:00.000,23.6,3.36,0.014,Aten,0.72,N,0.56,1.04
(2010 HZ104),2010-04-23T00:00:00.000,22.5,20.24,0.029,Apollo,3.37,N,0.97,3.52
(2010 HW81),2010-04-25T00:00:00.000,21.4,12.77,0.117,Apollo,1.33,N,0.33,2.1
(2010 HD33),2010-04-20T00:00:00.000,18.3,24.43,0.372,Amor,4.24,N,1.27,3.97
(2010 GV147),2010-04-14T00:00:00.000,18.5,44.05,0.316,Aten,0.94,N,0.33,1.59
(2010 GR75),2010-04-13T00:00:00.000,19.6,17.78,0.299,Apollo,2.27,N,0.63,2.82
(2010 GQ75),2010-04-12T00:00:00.000,20.2,43.23,0.598,Apollo,3.79,N,0.33,4.53
(2010 GP67),2010-04-11T00:00:00.000,22.3,13.27,0.018,Apollo,1.18,N,0.99,1.23
(2010 GH65),2010-04-10T00:00:00.000,18.8,21.04,0.15,Amor,4.45,N,1.05,4.36
(2010 GX62),2010-04-10T00:00:00.000,20,21.66,0.013,Apollo,5.07,Y,0.87,5.03
(2010 GW62),2010-04-09T00:00:00.000,19.4,32.43,0.44,Apollo,1.43,N,0.54,2
(2010 GF25),2010-04-02T00:00:00.000,19.1,38.49,0.399,Apollo,1.7,N,0.37,2.47
(2010 GE25),2010-04-01T00:00:00.000,20,21.66,0.22,Amor,2.97,N,1.1,3.03
(2010 GK23),2010-04-05T00:00:00.000,19.7,34.77,0.097,Apollo,4.32,N,0.87,4.43
C/2010 G3 (WISE),2010-04-14T00:00:00.000,"",108.27,4.492,Comet,135070.2,n/a,4.91,5260.08
C/2010 FB87 (WISE-Garradd),2010-03-28T00:00:00.000,"",107.63,2.538,Comet,5176.82,n/a,2.84,595.66
(2010 FJ81),2010-03-31T00:00:00.000,20.8,42.54,0.128,Amor,6.82,N,1.14,6.06
(2010 FH81),2010-03-31T00:00:00.000,21.6,16.79,0.034,Apollo,1.36,Y,0.97,1.48
(2010 FG81),2010-03-26T00:00:00.000,23.3,7.97,0.019,Apollo,2.14,N,1.01,2.31
(2010 FC81),2010-03-30T00:00:00.000,21.8,1.68,0.027,Apollo,4.38,Y,1.01,4.35
(2010 FB81),2010-03-30T00:00:00.000,21.4,9.48,0.096,Amor,4.14,N,1.02,4.14
(2010 FA81),2010-03-29T00:00:00.000,22.3,15.48,0.035,Apollo,1.31,N,1.01,1.38
(2010 FZ80),2010-03-28T00:00:00.000,20.3,27.34,0.297,Apollo,4.56,N,0.7,4.8
(2010 FY80),2010-03-28T00:00:00.000,19.7,18.81,0.14,Amor,4.42,N,1.05,4.35
(2010 FX80),2010-03-27T00:00:00.000,20.6,36.96,0.535,Amor,3.19,N,1.18,3.15
(2010 EX119),2010-03-13T00:00:00.000,19.4,15.57,0.159,Apollo,2.63,N,0.77,3.04
(2010 EN44),2010-03-12T00:00:00.000,24.3,10.18,0.023,Apollo,1.22,N,0.96,1.33
(2010 EX11),2010-03-03T00:00:00.000,24.1,9.75,0.029,Aten,0.93,N,0.85,1.06
C/2010 E3 (WISE),2010-03-05T00:00:00.000,"",96.48,1.546,Parabolic Comet,"",n/a,2.27,""
(2010 DJ77),2010-02-20T00:00:00.000,21.6,24.98,0.05,Aten,0.93,Y,0.75,1.16
(2010 DH77),2010-02-19T00:00:00.000,21.8,34.38,0.146,Apollo,5.9,N,0.95,5.58
(2010 DG77),2010-02-19T00:00:00.000,21.4,14.81,0.009,Apollo,3.02,Y,0.96,3.22
(2010 DM56),2010-02-19T00:00:00.000,19.9,25.61,0.006,Apollo,1.49,Y,0.92,1.69
(2010 DJ56),2010-02-23T00:00:00.000,19.3,34.84,0.028,Apollo,1.4,Y,0.94,1.56
(2010 DH56),2010-02-20T00:00:00.000,20.3,33.67,0.333,Apollo,3.35,N,0.97,3.51
C/2010 DG56 (WISE),2010-02-18T00:00:00.000,"",160.42,0.65,Comet,555.03,n/a,1.59,133.48
(2010 DK34),2010-02-20T00:00:00.000,20.4,27.34,0.333,Apollo,4.54,N,0.65,4.83
(2010 DM21),2010-02-16T00:00:00.000,20.2,21.15,0.26,Apollo,4.85,N,0.98,4.74
C/2010 D4 (WISE),2010-02-28T00:00:00.000,"",105.66,6.373,Comet,520.06,n/a,7.15,122.19
C/2010 D3 (WISE),2010-02-26T00:00:00.000,"",76.39,3.586,Comet,1254179.62,n/a,4.25,23255.11
P/2010 D2 (WISE),2010-02-25T00:00:00.000,"",57.18,2.945,Jupiter-family Comet*,17.3,n/a,3.66,9.72
P/2010 D1 (WISE),2010-02-17T00:00:00.000,"",9.65,1.683,Jupiter-family Comet,8.45,n/a,2.67,5.63
(2010 CN141),2010-02-14T00:00:00.000,22.4,23.8,0.06,Apollo,1.87,N,0.91,2.12
(2010 CP140),2010-02-13T00:00:00.000,19.5,14.47,0.097,Apollo,2.62,N,0.88,2.92
(2010 CC55),2010-02-11T00:00:00.000,22.5,6.78,0.079,Apollo,1.92,N,0.82,2.27
(2010 CA55),2010-02-05T00:00:00.000,21.3,58.85,0.151,Apollo,12.13,N,0.67,9.89
(2010 CH18),2010-02-09T00:00:00.000,19,27.15,0.333,Amor,4.21,N,1.12,4.09
(2010 CG18),2010-02-06T00:00:00.000,20.8,10.15,0.13,Amor,1.73,N,1.11,1.76
(2010 CO1),2010-02-01T00:00:00.000,21.5,24.03,0.023,Apollo,1.02,Y,0.79,1.23
P/2010 B2 (WISE),2010-01-22T00:00:00.000,"",8.93,0.63,Encke-type Comet,5.49,n/a,1.62,4.6
(2010 AU118),2010-01-13T00:00:00.000,17.7,43.73,0.147,Amor,2.06,N,1.13,2.12
(2010 AG79),2010-01-13T00:00:00.000,19.9,32.96,0.244,Amor,4.95,N,1.22,4.59
(2010 AB78),2010-01-12T00:00:00.000,18.3,33.26,0.206,Amor,3.38,N,1.02,3.49
